"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,3.59845507101428e-10,299,958,44,0.0459290187891441,0.147157190635452,"GO:1901342","GO:BP","regulation of vasculature development",20972,20013,"GO:0001944;GO:2000026"
"query_1",TRUE,4.47560007879451e-10,880,958,87,0.0908141962421712,0.0988636363636364,"GO:0033993","GO:BP","response to lipid",20972,7811,"GO:0042221"
"query_1",TRUE,4.60727867036684e-10,1108,958,102,0.106471816283925,0.092057761732852,"GO:1902533","GO:BP","positive regulation of intracellular signal transduction",20972,20816,"GO:0009967;GO:0035556;GO:1902531"
"query_1",TRUE,6.19906225483795e-10,856,958,85,0.0887265135699374,0.0992990654205607,"GO:0043066","GO:BP","negative regulation of apoptotic process",20972,9849,"GO:0006915;GO:0042981;GO:0043069"
"query_1",TRUE,6.75926774841865e-10,2401,958,179,0.186847599164927,0.0745522698875469,"GO:0008104","GO:BP","intracellular protein localization",20972,2983,"GO:0033036"
"query_1",TRUE,6.83344488305229e-10,194,958,34,0.0354906054279749,0.175257731958763,"GO:0030324","GO:BP","lung development",20972,6333,"GO:0030323;GO:0048513;GO:0060541"
"query_1",TRUE,7.44621690215079e-10,904,958,88,0.0918580375782881,0.0973451327433628,"GO:0009725","GO:BP","response to hormone",20972,3463,"GO:0009719;GO:0042221"
"query_1",TRUE,8.42835982542808e-10,1167,958,105,0.109603340292276,0.089974293059126,"GO:0048666","GO:BP","neuron development",20972,12075,"GO:0030182;GO:0048468"
"query_1",TRUE,8.94387620138369e-10,228,958,37,0.0386221294363257,0.162280701754386,"GO:0043542","GO:BP","endothelial cell migration",20972,10079,"GO:0016477"
"query_1",TRUE,9.29561675358145e-10,308,958,44,0.0459290187891441,0.142857142857143,"GO:2000146","GO:BP","negative regulation of cell motility",20972,23635,"GO:0040013;GO:0048523;GO:0048870;GO:2000145"
"query_1",TRUE,1.02065050262844e-09,93,958,23,0.0240083507306889,0.247311827956989,"GO:0007044","GO:BP","cell-substrate junction assembly",20972,2515,"GO:0034329;GO:0150115"
"query_1",TRUE,1.35991512344695e-09,4370,958,284,0.296450939457203,0.0649885583524027,"GO:0006810","GO:BP","transport",20972,2362,"GO:0051234"
"query_1",TRUE,1.43680738367845e-09,916,958,88,0.0918580375782881,0.0960698689956332,"GO:0051093","GO:BP","negative regulation of developmental process",20972,12611,"GO:0032502;GO:0048519;GO:0050793"
"query_1",TRUE,1.45086912860431e-09,221,958,36,0.0375782881002088,0.16289592760181,"GO:0060541","GO:BP","respiratory system development",20972,13725,"GO:0048731"
"query_1",TRUE,1.54969427784588e-09,325,958,45,0.046972860125261,0.138461538461538,"GO:0040013","GO:BP","negative regulation of locomotion",20972,9267,"GO:0040011;GO:0040012;GO:0048519"
"query_1",TRUE,1.57053246091928e-09,933,958,89,0.092901878914405,0.0953912111468382,"GO:0000122","GO:BP","negative regulation of transcription by RNA polymerase II",20972,47,"GO:0006357;GO:0006366;GO:0045892"
"query_1",TRUE,1.81978387671557e-09,212,958,35,0.0365344467640919,0.165094339622642,"GO:0010810","GO:BP","regulation of cell-substrate adhesion",20972,4216,"GO:0030155;GO:0031589"
