"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,6.14533911160251,0.666,0.006,0,"S100A16"
0,6.1442335579843,0.712,0.004,0,"GABRE"
0,6.14068761453622,0.425,0.002,0,"EGFR"
0,6.12964046844148,0.343,0.001,0,"SLC22A31"
0,6.11913609741913,0.541,0.005,0,"F3"
0,6.11161290294989,0.337,0.002,0,"NHS"
0,6.10036970765059,0.862,0.012,0,"CRABP2"
0,6.0988959250914,0.367,0.001,0,"DNALI1"
0,6.09398133554416,0.257,0.001,0,"ABO"
0,6.09167887507031,0.289,0.001,0,"SYT8"
0,6.08941013036608,0.3,0.001,0,"ATP2C2"
0,6.08439051323444,0.573,0.004,0,"GGT5"
0,6.08229856826449,0.409,0.002,0,"EVA1A"
0,6.07550669125512,0.472,0.002,0,"SELENBP1"
0,6.06265967116077,0.732,0.009,0,"LAMB3"
0,6.05304825911955,0.449,0.003,0,"GPX8"
0,6.04438861599638,0.852,0.01,0,"PLS3"
0,6.02785777660656,0.432,0.002,0,"TACC2"
0,6.00730075325163,0.557,0.003,0,"MAOA"
0,6.00379027031836,0.372,0.002,0,"AR"
0,5.99432698402452,0.356,0.004,0,"CST6"
0,5.98759631953776,0.774,0.015,0,"NNMT"
0,5.9844209944454,0.518,0.004,0,"TRIM2"
0,5.98361048731237,0.405,0.002,0,"MYH14"
0,5.96899343635483,0.433,0.002,0,"ASS1"
0,5.96272694771452,0.431,0.002,0,"PCDH1"
0,5.95238921914023,0.458,0.003,0,"WWC1"
0,5.9458089610663,0.351,0.002,0,"EPHA2"
0,5.93974173393422,0.29,0.001,0,"NDNF"
0,5.91980550819291,0.373,0.008,0,"CXCL1"
0,5.9184999100697,0.455,0.003,0,"ANXA3"
0,5.90498869436347,0.307,0.002,0,"RTL8B"
0,5.89972351435638,0.475,0.003,0,"AC008771.1"
0,5.89869316523632,0.535,0.005,0,"SERINC2"
0,5.88166781061531,0.433,0.002,0,"PRSS22"
0,5.88110531957709,0.551,0.003,0,"KITLG"
0,5.88103139223401,0.682,0.004,0,"BCAM"
0,5.86952984214783,0.712,0.006,0,"GPRC5C"
0,5.8651518726626,0.334,0.002,0,"AMOTL2"
0,5.8621415388734,0.29,0.002,0,"SMPDL3B"
0,5.8458746409866,0.604,0.004,0,"TMC4"
0,5.84319684574494,0.312,0.002,0,"KCNE4"
0,5.84226802757314,0.62,0.004,0,"KCNK1"
0,5.83601553515887,0.848,0.013,0,"ZDHHC9"
0,5.83479210525193,0.322,0.002,0,"SLC22A18AS"
0,5.80548677336982,0.315,0.002,0,"MECOM"
0,5.80235443602204,0.901,0.016,0,"TM4SF1"
0,5.79789980949112,0.283,0.001,0,"ALPL"
0,5.79011740588384,0.506,0.003,0,"CDC42EP1"
0,5.78872184721435,0.539,0.004,0,"TMEM98"
0,5.76082305418358,0.276,0.001,0,"ADGRF1"
0,5.75016058702364,0.654,0.006,0,"CXADR"
0,5.73453745732976,0.743,0.021,0,"CXCL2"
0,5.73217807661594,0.564,0.003,0,"RAI14"
0,5.72328170625065,0.428,0.003,0,"KIAA1217"
0,5.71028454010744,0.783,0.008,0,"CTTN"
0,5.68984216516631,0.329,0.002,0,"PLIN5"
0,5.68779092371024,0.404,0.003,0,"SH2D4A"
0,5.68497097410402,0.351,0.003,0,"SYBU"
0,5.67693183944598,0.655,0.005,0,"PTPRF"
0,5.67518050700756,0.589,0.003,0,"SLC44A4"
0,5.67488154165192,0.594,0.005,0,"OSMR"
0,5.66537434365742,0.331,0.003,0,"SH3BP4"
0,5.63912157270021,0.475,0.005,0,"PTGR1"
0,5.63615146602909,0.893,0.02,0,"TCEAL9"
0,5.60095578229974,0.377,0.002,0,"PKP3"
0,5.57866894695571,0.35,0.002,0,"OVOL1"
0,5.5712080082684,0.515,0.003,0,"STEAP4"
0,5.5687392229083,0.394,0.003,0,"C19orf81"
0,5.56296729208303,0.302,0.002,0,"P2RY6"
0,5.54683837220913,0.361,0.002,0,"IRX5"
0,5.54501180386661,0.323,0.002,0,"CDH11"
0,5.54389141881532,0.265,0.001,0,"TFPI2"
0,5.54132220355137,0.559,0.003,0,"EFNA5"
0,5.52415702507058,0.875,0.011,0,"SELENOP"
0,5.5225182189258,0.587,0.006,0,"CLIC2"
0,5.51697786278354,0.284,0.002,0,"CFB"
0,5.50314538409261,0.486,0.004,0,"CTDSPL"
0,5.49477889009216,0.304,0.002,0,"PPP1R9A"
0,5.49380930697364,0.428,0.003,0,"TEAD1"
0,5.48627125587012,0.465,0.004,0,"SDC2"
0,5.48354891047834,0.296,0.002,0,"SERTAD4-AS1"
0,5.46814834041588,0.545,0.004,0,"YAP1"
0,5.4680313039667,0.601,0.003,0,"ADGRF5"
0,5.46707700816295,0.355,0.003,0,"CFI"
0,5.42432764417092,0.588,0.005,0,"PPIC"
0,5.42028702037466,0.803,0.009,0,"EMP2"
0,5.41432184495606,0.255,0.002,0,"BMP2"
0,5.40839386632383,0.441,0.004,0,"TNFRSF21"
0,5.40451972233997,0.77,0.012,0,"EMP1"
0,5.39069423352107,0.517,0.005,0,"NTN4"
0,5.3898771519642,0.389,0.003,0,"CX3CL1"
0,5.38707213489682,0.611,0.006,0,"EFNA1"
0,5.37098903892994,0.452,0.004,0,"GUCY1A1"
